Email,Major Name,Degree Type
jt2897@illinois.edu,Computer Science + Physics, BS
jt4650@illinois.edu,Computer Science + Physics, BS
jt3331@illinois.edu,Statistics & Computer Science, BSLAS
jt1504@illinois.edu,Computer Science + Economics, BSLAS
jt448@illinois.edu,Computer Science + Physics, BS
jt4362@illinois.edu,Computer Science + Crop Sciences, BS
jt3636@illinois.edu,Computer Science + Advertising, BS
jt2421@illinois.edu,Computer Science + Music, BS
jt2074@illinois.edu,Computer Science + Chemistry, BSLAS
jt4419@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt2145@illinois.edu,Computer Science + Music, BS
jt1435@illinois.edu,Computer Science + Astronomy, BSLAS
jt912@illinois.edu,Computer Science + Linguistics, BSLAS
jt5231@illinois.edu,Computer Engineering, BS
jt1839@illinois.edu,Computer Science + Economics, BSLAS
jt5121@illinois.edu,Computer Science + Animal Sciences, BS
jt5843@illinois.edu,Computer Science + Economics, BSLAS
jt5782@illinois.edu,Computer Science + Linguistics, BSLAS
jt3426@illinois.edu,Computer Science + Anthropology, BSLAS
jt4992@illinois.edu,Computer Science + Crop Sciences, BS
jt3414@illinois.edu,Computer Science + Anthropology, BSLAS
jt393@illinois.edu,Computer Science + Advertising, BS
jt3504@illinois.edu,Computer Science + Linguistics, BSLAS
jt3700@illinois.edu,Mathematics & Computer Science, BSLAS
jt84@illinois.edu,Computer Science + Bioengineering, BS
jt3807@illinois.edu,Computer Science + Economics, BSLAS
jt5760@illinois.edu,Computer Science + Philosophy, BSLAS
jt1792@illinois.edu,Computer Science + Bioengineering, BS
jt3737@illinois.edu,Computer Science + Chemistry, BSLAS
jt2821@illinois.edu,Computer Science + Anthropology, BSLAS
jt5997@illinois.edu,Computer Science + Music, BS
jt3064@illinois.edu,Computer Science + Astronomy, BSLAS
jt3582@illinois.edu,Mathematics & Computer Science, BSLAS
jt1874@illinois.edu,Computer Science + Philosophy, BSLAS
jt3909@illinois.edu,Computer Science + Anthropology, BSLAS
jt216@illinois.edu,Computer Science + Physics, BS
jt374@illinois.edu,Computer Science + Linguistics, BSLAS
jt1492@illinois.edu,Statistics & Computer Science, BSLAS
jt4779@illinois.edu,Mathematics & Computer Science, BSLAS
jt1375@illinois.edu,Computer Science + Philosophy, BSLAS
jt5957@illinois.edu,Computer Science + Bioengineering, BS
jt3645@illinois.edu,Computer Science + Crop Sciences, BS
jt2132@illinois.edu,Computer Science + Crop Sciences, BS
jt5736@illinois.edu,Computer Science + Advertising, BS
jt5983@illinois.edu,Computer Science + Bioengineering, BS
jt5559@illinois.edu,Computer Science + Physics, BS
jt4299@illinois.edu,Mathematics & Computer Science, BSLAS
jt213@illinois.edu,Computer Science & Music, BS
jt597@illinois.edu,Computer Science + Physics, BS
jt4225@illinois.edu,Computer Science + Crop Sciences, BS
jt2127@illinois.edu,Computer Science + Music, BS
jt1339@illinois.edu,Computer Science + Philosophy, BSLAS
jt4129@illinois.edu,Computer Science + Anthropology, BSLAS
jt1168@illinois.edu,Computer Science & Music, BS
jt4187@illinois.edu,Computer Science + Advertising, BS
jt4619@illinois.edu,Computer Science + Animal Sciences, BS
jt878@illinois.edu,Computer Science + Education, BS
jt3123@illinois.edu,Computer Science + Economics, BSLAS
jt2491@illinois.edu,Computer Science + Economics, BSLAS
jt4809@illinois.edu,Computer Science + Physics, BS
jt2472@illinois.edu,Computer Science & Music, BS
jt218@illinois.edu,Computer Science + Economics, BSLAS
jt710@illinois.edu,Computer Science + Animal Sciences, BS
jt3415@illinois.edu,Computer Engineering, BS
jt2803@illinois.edu,Computer Science + Animal Sciences, BS
jt1102@illinois.edu,Computer Science + Physics, BS
jt5794@illinois.edu,Computer Science + Philosophy, BSLAS
jt4512@illinois.edu,Computer Science + Economics, BSLAS
jt4912@illinois.edu,Computer Science + Anthropology, BSLAS
jt3286@illinois.edu,Computer Science + Chemistry, BSLAS
jt5848@illinois.edu,Computer Science + Physics, BS
jt929@illinois.edu,Computer Science + Education, BS
jt432@illinois.edu,Computer Science + Anthropology, BSLAS
jt160@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt2506@illinois.edu,Computer Engineering, BS
jt5003@illinois.edu,Computer Science + Economics, BSLAS
jt3908@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt5958@illinois.edu,Computer Science + Anthropology, BSLAS
jt2313@illinois.edu,Computer Science, BS
jt4420@illinois.edu,Computer Science + Physics, BS
jt2061@illinois.edu,Computer Science + Anthropology, BSLAS
jt2135@illinois.edu,Computer Science & Music, BS
jt5054@illinois.edu,Computer Science + Crop Sciences, BS
jt660@illinois.edu,Computer Science & Music, BS
jt5807@illinois.edu,Computer Science + Philosophy, BSLAS
jt99@illinois.edu,Computer Science + Crop Sciences, BS
jt1509@illinois.edu,Statistics & Computer Science, BSLAS
jt5104@illinois.edu,Statistics & Computer Science, BSLAS
jt1164@illinois.edu,Computer Science + Bioengineering, BS
jt5741@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt1698@illinois.edu,Computer Science + Crop Sciences, BS
jt703@illinois.edu,Computer Science + Astronomy, BSLAS
jt3586@illinois.edu,Computer Science + Physics, BS
jt1690@illinois.edu,Computer Science + Chemistry, BSLAS
jt1685@illinois.edu,Statistics & Computer Science, BSLAS
jt4887@illinois.edu,Computer Science + Education, BS
jt4006@illinois.edu,Computer Science + Anthropology, BSLAS
jt3261@illinois.edu,Computer Science + Astronomy, BSLAS
jt2862@illinois.edu,Computer Science + Animal Sciences, BS
jt2500@illinois.edu,Computer Science + Philosophy, BSLAS
jt3155@illinois.edu,Computer Science + Physics, BS
jt2377@illinois.edu,Computer Science + Animal Sciences, BS
jt5265@illinois.edu,Computer Science + Bioengineering, BS
jt1056@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt4230@illinois.edu,Mathematics & Computer Science, BSLAS
jt3666@illinois.edu,Computer Science + Astronomy, BSLAS
jt3781@illinois.edu,Computer Science + Education, BS
jt4897@illinois.edu,Computer Science + Economics, BSLAS
jt5171@illinois.edu,Computer Science & Music, BS
jt5906@illinois.edu,Computer Science + Bioengineering, BS
jt22@illinois.edu,Computer Engineering, BS
jt3432@illinois.edu,Computer Science & Music, BS
jt3746@illinois.edu,Computer Engineering, BS
jt2002@illinois.edu,Computer Science + Bioengineering, BS
jt3260@illinois.edu,Computer Science, BS
jt872@illinois.edu,Computer Science + Crop Sciences, BS
jt4360@illinois.edu,Computer Science + Advertising, BS
jt3907@illinois.edu,Computer Science + Philosophy, BSLAS
jt4805@illinois.edu,Computer Science + Linguistics, BSLAS
jt3367@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt1179@illinois.edu,Computer Science + Astronomy, BSLAS
jt4302@illinois.edu,Computer Science + Animal Sciences, BS
jt3273@illinois.edu,Computer Science + Philosophy, BSLAS
jt1274@illinois.edu,Computer Science + Astronomy, BSLAS
jt3342@illinois.edu,Computer Science + Education, BS
jt3871@illinois.edu,Computer Science + Music, BS
jt960@illinois.edu,Computer Science + Astronomy, BSLAS
jt5934@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt1214@illinois.edu,Computer Science, BS
jt3160@illinois.edu,Computer Science + Music, BS
jt1228@illinois.edu,Computer Engineering, BS
jt1251@illinois.edu,Statistics & Computer Science, BSLAS
jt2385@illinois.edu,Computer Science + Advertising, BS
jt2189@illinois.edu,Computer Science + Chemistry, BSLAS
jt5918@illinois.edu,Computer Science + Bioengineering, BS
jt2167@illinois.edu,Mathematics & Computer Science, BSLAS
jt85@illinois.edu,Computer Science + Linguistics, BSLAS
jt91@illinois.edu,Computer Science + Bioengineering, BS
jt1750@illinois.edu,Computer Science + Philosophy, BSLAS
jt1201@illinois.edu,Computer Science + Linguistics, BSLAS
jt1291@illinois.edu,Computer Science + Animal Sciences, BS
jt3324@illinois.edu,Computer Science + Chemistry, BSLAS
jt167@illinois.edu,Computer Science + Bioengineering, BS
jt4833@illinois.edu,Computer Engineering, BS
jt2296@illinois.edu,Mathematics & Computer Science, BSLAS
jt1745@illinois.edu,Mathematics & Computer Science, BSLAS
jt1097@illinois.edu,Mathematics & Computer Science, BSLAS
jt344@illinois.edu,Computer Science + Chemistry, BSLAS
jt3795@illinois.edu,Computer Science + Education, BS
jt5783@illinois.edu,Computer Science + Bioengineering, BS
jt479@illinois.edu,Computer Science + Bioengineering, BS
jt2995@illinois.edu,Computer Science + Chemistry, BSLAS
jt1720@illinois.edu,Computer Science & Music, BS
jt5589@illinois.edu,Mathematics & Computer Science, BSLAS
jt4556@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt3721@illinois.edu,Computer Science + Bioengineering, BS
jt2436@illinois.edu,Computer Science + Economics, BSLAS
jt1895@illinois.edu,Computer Science + Chemistry, BSLAS
jt900@illinois.edu,Computer Science + Physics, BS
jt5061@illinois.edu,Computer Science + Astronomy, BSLAS
jt3520@illinois.edu,Computer Science & Music, BS
jt4267@illinois.edu,Computer Science + Economics, BSLAS
jt4669@illinois.edu,Computer Science + Advertising, BS
jt3960@illinois.edu,Statistics & Computer Science, BSLAS
jt490@illinois.edu,Computer Science + Chemistry, BSLAS
jt1787@illinois.edu,Computer Science + Linguistics, BSLAS
jt380@illinois.edu,Computer Science + Economics, BSLAS
jt1126@illinois.edu,Computer Science + Bioengineering, BS
jt862@illinois.edu,Mathematics & Computer Science, BSLAS
jt1980@illinois.edu,Computer Science + Linguistics, BSLAS
jt4598@illinois.edu,Computer Science + Economics, BSLAS
jt1826@illinois.edu,Computer Science + Bioengineering, BS
jt5168@illinois.edu,Computer Science + Advertising, BS
jt1588@illinois.edu,Computer Science + Philosophy, BSLAS
jt5186@illinois.edu,Computer Science + Chemistry, BSLAS
jt5373@illinois.edu,Computer Science + Animal Sciences, BS
jt3141@illinois.edu,Computer Science + Philosophy, BSLAS
jt123@illinois.edu,Computer Science & Music, BS
jt5878@illinois.edu,Computer Science + Astronomy, BSLAS
jt5645@illinois.edu,Computer Science + Anthropology, BSLAS
jt2748@illinois.edu,Computer Science & Music, BS
jt5504@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt3206@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt1600@illinois.edu,Computer Science & Music, BS
jt353@illinois.edu,Mathematics & Computer Science, BSLAS
jt5953@illinois.edu,Computer Science + Animal Sciences, BS
jt4899@illinois.edu,Computer Science + Linguistics, BSLAS
jt3228@illinois.edu,Computer Science + Linguistics, BSLAS
jt606@illinois.edu,Computer Science & Music, BS
jt3071@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt5992@illinois.edu,Computer Science, BS
jt2515@illinois.edu,Computer Engineering, BS
jt526@illinois.edu,Computer Science, BS
jt2953@illinois.edu,Computer Science + Animal Sciences, BS
jt4351@illinois.edu,Mathematics & Computer Science, BSLAS
jt558@illinois.edu,Computer Science + Music, BS
jt5396@illinois.edu,Computer Science + Chemistry, BSLAS
jt1952@illinois.edu,Computer Science + Physics, BS
jt377@illinois.edu,Computer Engineering, BS
jt3710@illinois.edu,Computer Science + Animal Sciences, BS
jt5211@illinois.edu,Computer Science + Animal Sciences, BS
jt5402@illinois.edu,Computer Science + Crop Sciences, BS
jt398@illinois.edu,Computer Science + Education, BS
jt3041@illinois.edu,Computer Science + Physics, BS
jt2944@illinois.edu,Computer Science, BS
jt3648@illinois.edu,Computer Science + Philosophy, BSLAS
jt658@illinois.edu,Statistics & Computer Science, BSLAS
jt4560@illinois.edu,Computer Science, BS
jt3551@illinois.edu,Mathematics & Computer Science, BSLAS
jt2485@illinois.edu,Computer Engineering, BS
jt5948@illinois.edu,Computer Science + Philosophy, BSLAS
jt1749@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt5684@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt2479@illinois.edu,Computer Science + Philosophy, BSLAS
jt4070@illinois.edu,Computer Science + Animal Sciences, BS
jt3780@illinois.edu,Computer Science + Anthropology, BSLAS
jt3996@illinois.edu,Computer Science + Education, BS
jt979@illinois.edu,Computer Science + Philosophy, BSLAS
jt2855@illinois.edu,Computer Science + Animal Sciences, BS
jt1041@illinois.edu,Computer Engineering, BS
jt4502@illinois.edu,Computer Science + Economics, BSLAS
jt124@illinois.edu,Computer Science, BS
jt5391@illinois.edu,Computer Science + Advertising, BS
jt3813@illinois.edu,Computer Science, BS
jt1612@illinois.edu,Computer Science + Education, BS
jt2243@illinois.edu,Computer Science + Bioengineering, BS
jt5434@illinois.edu,Computer Science + Crop Sciences, BS
jt1896@illinois.edu,Computer Science + Crop Sciences, BS
jt2876@illinois.edu,Computer Science, BS
jt5862@illinois.edu,Computer Science + Bioengineering, BS
jt2495@illinois.edu,Computer Science + Crop Sciences, BS
jt990@illinois.edu,Computer Science, BS
jt5230@illinois.edu,Computer Engineering, BS
jt2311@illinois.edu,Computer Science, BS
jt3162@illinois.edu,Computer Science + Education, BS
jt2222@illinois.edu,Computer Science + Animal Sciences, BS
jt4222@illinois.edu,Computer Science + Physics, BS
jt4765@illinois.edu,Computer Science + Advertising, BS
jt4605@illinois.edu,Computer Science + Astronomy, BSLAS
jt2884@illinois.edu,Computer Science + Bioengineering, BS
jt2188@illinois.edu,Computer Science + Crop Sciences, BS
jt5905@illinois.edu,Statistics & Computer Science, BSLAS
jt5796@illinois.edu,Computer Science & Music, BS
jt2363@illinois.edu,Computer Science & Music, BS
jt4653@illinois.edu,Computer Science + Music, BS
jt976@illinois.edu,Computer Science + Anthropology, BSLAS
jt4606@illinois.edu,Computer Science + Anthropology, BSLAS
jt3360@illinois.edu,Mathematics & Computer Science, BSLAS
jt5780@illinois.edu,Computer Science + Linguistics, BSLAS
jt4558@illinois.edu,Computer Science + Economics, BSLAS
jt826@illinois.edu,Computer Science + Bioengineering, BS
jt3540@illinois.edu,Computer Science + Anthropology, BSLAS
jt2981@illinois.edu,Computer Engineering, BS
jt48@illinois.edu,Statistics & Computer Science, BSLAS
jt1463@illinois.edu,Computer Science + Advertising, BS
jt4547@illinois.edu,Computer Science + Anthropology, BSLAS
jt4482@illinois.edu,Computer Science + Advertising, BS
jt2420@illinois.edu,Computer Science + Anthropology, BSLAS
jt145@illinois.edu,Computer Science, BS
jt2077@illinois.edu,Computer Science + Astronomy, BSLAS
jt3870@illinois.edu,Computer Science, BS
jt945@illinois.edu,Computer Science + Advertising, BS
jt2160@illinois.edu,Computer Science, BS
jt584@illinois.edu,Computer Engineering, BS
jt3509@illinois.edu,Computer Science + Anthropology, BSLAS
jt3655@illinois.edu,Computer Science + Chemistry, BSLAS
jt5101@illinois.edu,Computer Science + Chemistry, BSLAS
jt5045@illinois.edu,Computer Science + Philosophy, BSLAS
jt1574@illinois.edu,Computer Science + Philosophy, BSLAS
jt3231@illinois.edu,Computer Science + Chemistry, BSLAS
jt1306@illinois.edu,Computer Science + Physics, BS
jt4836@illinois.edu,Computer Science, BS
jt1678@illinois.edu,Computer Science + Animal Sciences, BS
jt2108@illinois.edu,Computer Science + Music, BS
jt5564@illinois.edu,Computer Science + Music, BS
jt2973@illinois.edu,Computer Science + Animal Sciences, BS
jt2986@illinois.edu,Statistics & Computer Science, BSLAS
jt4870@illinois.edu,Statistics & Computer Science, BSLAS
jt2695@illinois.edu,Computer Science + Physics, BS
jt1374@illinois.edu,Mathematics & Computer Science, BSLAS
jt1759@illinois.edu,Computer Engineering, BS
jt4763@illinois.edu,Computer Science + Anthropology, BSLAS
jt2122@illinois.edu,Computer Science + Animal Sciences, BS
jt2348@illinois.edu,Mathematics & Computer Science, BSLAS
jt482@illinois.edu,Mathematics & Computer Science, BSLAS
jt1458@illinois.edu,Computer Science + Economics, BSLAS
jt5567@illinois.edu,Computer Science + Music, BS
jt2458@illinois.edu,Computer Science + Linguistics, BSLAS
jt783@illinois.edu,Statistics & Computer Science, BSLAS
jt4397@illinois.edu,Statistics & Computer Science, BSLAS
jt1116@illinois.edu,Computer Science + Chemistry, BSLAS
jt294@illinois.edu,Computer Science + Music, BS
jt1545@illinois.edu,Computer Science + Education, BS
jt4256@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt3819@illinois.edu,Computer Science + Chemistry, BSLAS
jt2807@illinois.edu,Computer Science + Education, BS
jt1438@illinois.edu,Computer Science + Chemistry, BSLAS
jt2205@illinois.edu,Statistics & Computer Science, BSLAS
jt208@illinois.edu,Computer Science + Bioengineering, BS
jt3222@illinois.edu,Computer Science + Anthropology, BSLAS
jt1568@illinois.edu,Computer Science + Music, BS
jt2398@illinois.edu,Computer Science + Education, BS
jt4014@illinois.edu,Computer Science & Music, BS
jt4445@illinois.edu,Computer Science + Linguistics, BSLAS
jt4693@illinois.edu,Computer Science + Anthropology, BSLAS
jt1976@illinois.edu,Computer Science + Chemistry, BSLAS
jt3472@illinois.edu,Mathematics & Computer Science, BSLAS
jt2865@illinois.edu,Computer Science + Linguistics, BSLAS
jt3189@illinois.edu,Computer Science + Crop Sciences, BS
jt2347@illinois.edu,Computer Science, BS
jt140@illinois.edu,Computer Science + Animal Sciences, BS
jt3867@illinois.edu,Computer Science + Crop Sciences, BS
jt2256@illinois.edu,Computer Science, BS
jt3862@illinois.edu,Computer Science + Physics, BS
jt679@illinois.edu,Computer Engineering, BS
jt2784@illinois.edu,Computer Science + Education, BS
jt1183@illinois.edu,Computer Science + Bioengineering, BS
jt1708@illinois.edu,Statistics & Computer Science, BSLAS
jt3356@illinois.edu,Computer Science + Anthropology, BSLAS
jt3454@illinois.edu,Mathematics & Computer Science, BSLAS
jt5980@illinois.edu,Computer Science + Education, BS
jt5573@illinois.edu,Computer Science + Philosophy, BSLAS
jt814@illinois.edu,Computer Science + Animal Sciences, BS
jt4015@illinois.edu,Computer Science + Astronomy, BSLAS
jt4827@illinois.edu,Computer Science + Philosophy, BSLAS
jt4149@illinois.edu,Computer Science + Education, BS
jt3353@illinois.edu,Computer Science + Education, BS
jt5951@illinois.edu,Computer Science, BS
jt1088@illinois.edu,Computer Science + Anthropology, BSLAS
jt3086@illinois.edu,Computer Science + Physics, BS
jt5272@illinois.edu,Computer Science + Philosophy, BSLAS
jt3990@illinois.edu,Computer Science, BS
jt2216@illinois.edu,Computer Science + Animal Sciences, BS
jt58@illinois.edu,Computer Science + Crop Sciences, BS
jt4325@illinois.edu,Computer Science + Advertising, BS
jt96@illinois.edu,Computer Science + Linguistics, BSLAS
jt4682@illinois.edu,Computer Science + Anthropology, BSLAS
jt3127@illinois.edu,Computer Science + Philosophy, BSLAS
jt2539@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt1659@illinois.edu,Computer Science & Music, BS
jt2505@illinois.edu,Computer Science + Education, BS
jt4953@illinois.edu,Computer Science + Animal Sciences, BS
jt4252@illinois.edu,Computer Science + Economics, BSLAS
jt1762@illinois.edu,Computer Science + Chemistry, BSLAS
jt608@illinois.edu,Computer Science + Linguistics, BSLAS
jt3603@illinois.edu,Computer Science + Education, BS
jt3080@illinois.edu,Mathematics & Computer Science, BSLAS
jt4830@illinois.edu,Computer Science + Advertising, BS
jt4507@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt5932@illinois.edu,Computer Science + Economics, BSLAS
jt5441@illinois.edu,Computer Science, BS
