Name,Email,Major
Johnny Test42299,jt42299@illinois.edu,"Education Policy, Organization & Leadership, CAS"
Johnny Test10813,jt10813@illinois.edu,"Information Sciences, BS"
Johnny Test15839,jt15839@illinois.edu,"Statistics, BSLAS"
Johnny Test1286,jt1286@illinois.edu,"Computer Science + Linguistics, BSLAS"
Johnny Test28004,jt28004@illinois.edu,"Linguistics, BALAS"
Johnny Test19447,jt19447@illinois.edu,"Voice, BMUS"
Johnny Test39006,jt39006@illinois.edu,"English, MA"
Johnny Test17842,jt17842@illinois.edu,"Slavic Studies, BALAS"
Johnny Test12639,jt12639@illinois.edu,"Innovation, Leadership & Engineering Entrepreneurship, BS (ILEE)"
Johnny Test52628,jt52628@illinois.edu,"Nutritional Sciences, MS"
Johnny Test35294,jt35294@illinois.edu,"Environmental Engineering, BS"
Johnny Test36429,jt36429@illinois.edu,"Open Studies, BMUS"
Johnny Test47228,jt47228@illinois.edu,"Dance, MFA"
Johnny Test20865,jt20865@illinois.edu,"Philosophy, BALAS"
Johnny Test30586,jt30586@illinois.edu,"Strategy, Innovation and Entrepreneurship, BS"
Johnny Test38929,jt38929@illinois.edu,"Business Analytics, MS"
Johnny Test42870,jt42870@illinois.edu,"Urban Planning, MUP"
Johnny Test5290,jt5290@illinois.edu,"Bioinformatics, MS"
Johnny Test32176,jt32176@illinois.edu,"Nuclear, Plasma, & Radiological Engineering, BS"
Johnny Test28225,jt28225@illinois.edu,"Chemistry, BS"
Johnny Test5194,jt5194@illinois.edu,"Electrical & Computer Engineering, PhD"
Johnny Test26259,jt26259@illinois.edu,"Studio Art, BASA"
Johnny Test638,jt638@illinois.edu,"Computer Science + Education, BS"
Johnny Test1044,jt1044@illinois.edu,"Computer Science + Astronomy, BSLAS"
Johnny Test17598,jt17598@illinois.edu,"Neuroscience, BSLAS"
Johnny Test49751,jt49751@illinois.edu,"Geography, MS"
Johnny Test21869,jt21869@illinois.edu,"Physics, BS"
Johnny Test41435,jt41435@illinois.edu,"Landscape Architecture, MLA"
Johnny Test27868,jt27868@illinois.edu,"Strategy, Innovation and Entrepreneurship, BS"
Johnny Test25839,jt25839@illinois.edu,"Classics, BALAS"
Johnny Test51423,jt51423@illinois.edu,"French, MA"
Johnny Test26631,jt26631@illinois.edu,"Agricultural & Biological Engineering, BS"
Johnny Test23423,jt23423@illinois.edu,"Theatre, BFA"
Johnny Test24794,jt24794@illinois.edu,"Engineering Mechanics, BS"
Johnny Test45559,jt45559@illinois.edu,"Microbiology, PhD"
Johnny Test30546,jt30546@illinois.edu,"Geology, BS"
Johnny Test22830,jt22830@illinois.edu,"Early Childhood Education, BS"
Johnny Test40914,jt40914@illinois.edu,"Psychological Science, MS"
Johnny Test33439,jt33439@illinois.edu,"Latin American Studies, BALAS"
Johnny Test39110,jt39110@illinois.edu,"East Asian Languages & Cultures, MA"
Johnny Test6326,jt6326@illinois.edu,"Finance + Data Science, BS"
Johnny Test50522,jt50522@illinois.edu,"French, PhD"
Johnny Test35057,jt35057@illinois.edu,"Music Education, BME"
Johnny Test36290,jt36290@illinois.edu,"Astronomy + Data Science, BSLAS"
Johnny Test5213,jt5213@illinois.edu,"Electrical & Computer Engineering, MS"
Johnny Test25189,jt25189@illinois.edu,"Special Education, BS"
Johnny Test43510,jt43510@illinois.edu,"Animal Sciences, MS"
Johnny Test38727,jt38727@illinois.edu,"Entomology, PhD"
Johnny Test28997,jt28997@illinois.edu,"Advertising, BS"
Johnny Test11409,jt11409@illinois.edu,"Sociology, BALAS"
Johnny Test38331,jt38331@illinois.edu,"Public Health, MPH"
Johnny Test50791,jt50791@illinois.edu,"Sociology, MA"
Johnny Test13503,jt13503@illinois.edu,"Landscape Architecture, BLA"
Johnny Test5283,jt5283@illinois.edu,"Electrical & Computer Engineering, MEng"
Johnny Test14875,jt14875@illinois.edu,"Music Education, BME"
Johnny Test3022,jt3022@illinois.edu,"Computer Science + Bioengineering, BS"
Johnny Test14866,jt14866@illinois.edu,"Interdisciplinary Health Sciences, BS"
Johnny Test41991,jt41991@illinois.edu,"Curriculum & Instruction, MA"
Johnny Test46836,jt46836@illinois.edu,"Recreation, Sport & Tourism, PhD"
Johnny Test27741,jt27741@illinois.edu,"Landscape Architecture, BLA"
Johnny Test12100,jt12100@illinois.edu,"African American Studies, BALAS"
Johnny Test32998,jt32998@illinois.edu,"Classics, BALAS"
Johnny Test16900,jt16900@illinois.edu,"Anthropology, BALAS"
Johnny Test10710,jt10710@illinois.edu,"Gender & Women's Studies, BALAS"
Johnny Test28879,jt28879@illinois.edu,"Agricultural & Biological Engineering, BS"
Johnny Test50751,jt50751@illinois.edu,"Philosophy, PhD"
Johnny Test1104,jt1104@illinois.edu,"Computer Science + Philosophy, BSLAS"
Johnny Test24885,jt24885@illinois.edu,"Athletic Training, BS"
Johnny Test47084,jt47084@illinois.edu,"Slavic Languages & Literatures, MA"
Johnny Test24611,jt24611@illinois.edu,"Speech & Hearing Science, BS"
Johnny Test20440,jt20440@illinois.edu,"Sociology, BALAS"
Johnny Test48720,jt48720@illinois.edu,"Atmospheric Sciences, PhD"
Johnny Test17265,jt17265@illinois.edu,"Earth, Society, & Environmental Sustainability, BSLAS"
Johnny Test29828,jt29828@illinois.edu,"English, BALAS"
Johnny Test47778,jt47778@illinois.edu,"Natural Resources & Environmental Sciences, PhD"
Johnny Test21847,jt21847@illinois.edu,"Speech & Hearing Science, BS"
Johnny Test8868,jt8868@illinois.edu,"Community Health, BS"
Johnny Test11728,jt11728@illinois.edu,"Musicology, BMUS"
Johnny Test16316,jt16316@illinois.edu,"Community Health, BS"
Johnny Test3929,jt3929@illinois.edu,"Computer Science + Physics, BS"
Johnny Test4395,jt4395@illinois.edu,"Bioinformatics, MS"
Johnny Test48759,jt48759@illinois.edu,"French, PhD"
Johnny Test20185,jt20185@illinois.edu,"Creative Writing, BALAS"
Johnny Test2886,jt2886@illinois.edu,"Computer Science + Advertising, BS"
Johnny Test23500,jt23500@illinois.edu,"Nuclear, Plasma, & Radiological Engineering, BS"
Johnny Test13247,jt13247@illinois.edu,"Engineering Mechanics, BS"
Johnny Test43033,jt43033@illinois.edu,"Information Management, MS"
Johnny Test47631,jt47631@illinois.edu,"Portuguese, PhD"
Johnny Test31158,jt31158@illinois.edu,Art Undeclared
Johnny Test34050,jt34050@illinois.edu,"Geology, BS"
Johnny Test38527,jt38527@illinois.edu,"Creative Writing, MFA"
Johnny Test5256,jt5256@illinois.edu,"Computer Science, MS"
Johnny Test36575,jt36575@illinois.edu,"Teaching of French, BA"
Johnny Test19343,jt19343@illinois.edu,"Spanish, BALAS"
Johnny Test7360,jt7360@illinois.edu,"Jazz Performance, BMUS"
Johnny Test2443,jt2443@illinois.edu,"Computer Science + Economics, BSLAS"
Johnny Test8943,jt8943@illinois.edu,"Electrical Engineering, BS"
Johnny Test27668,jt27668@illinois.edu,"Operations Management, BS"
Johnny Test12568,jt12568@illinois.edu,"Strategy, Innovation and Entrepreneurship, BS"
Johnny Test21846,jt21846@illinois.edu,"Community Health, BS"
Johnny Test13381,jt13381@illinois.edu,"Dance, BA"
Johnny Test33990,jt33990@illinois.edu,"Integrative Biology, BSLAS"
Johnny Test18154,jt18154@illinois.edu,"Teaching of French, BA"
Johnny Test47017,jt47017@illinois.edu,"Bioprocessing & Bioenergy, MS - Professional Science Master’s"
Johnny Test10941,jt10941@illinois.edu,"Elementary Education, BS"
Johnny Test3979,jt3979@illinois.edu,"Computer Science & Music, BS"
Johnny Test17277,jt17277@illinois.edu,"Studio Art, BFASA"
Johnny Test50340,jt50340@illinois.edu,"Epidemiology, MPH"
Johnny Test28581,jt28581@illinois.edu,"Music, BA"
Johnny Test14445,jt14445@illinois.edu,"French, BALAS"
Johnny Test25510,jt25510@illinois.edu,"Kinesiology, BS & Dance, BA"
Johnny Test20466,jt20466@illinois.edu,"Mechanical Engineering, BS"
Johnny Test52532,jt52532@illinois.edu,"Musicology, PhD"
Johnny Test12450,jt12450@illinois.edu,"Interdisciplinary Health Sciences, BS"
Johnny Test50695,jt50695@illinois.edu,"Nutritional Sciences, PhD"
Johnny Test17578,jt17578@illinois.edu,"Teaching of German, BA"
Johnny Test50492,jt50492@illinois.edu,"Economics, MS"
Johnny Test19711,jt19711@illinois.edu,"Portuguese, BALAS"
Johnny Test34832,jt34832@illinois.edu,"Art Education, BFA"
Johnny Test39017,jt39017@illinois.edu,"Nutritional Sciences, MS"
Johnny Test21926,jt21926@illinois.edu,"Mechanical Engineering, BS"
Johnny Test31190,jt31190@illinois.edu,"Psychology, BSLAS"
Johnny Test13874,jt13874@illinois.edu,"Open Studies, BMUS"
Johnny Test32763,jt32763@illinois.edu,"Dance, BFA"
Johnny Test11134,jt11134@illinois.edu,"Instrumental Music, BMUS"
Johnny Test49612,jt49612@illinois.edu,"Pathobiology, PhD"
Johnny Test39397,jt39397@illinois.edu,"Engineering Technology and Management for Agricultural Systems, MS - Professional Science Masters"
Johnny Test11823,jt11823@illinois.edu,"Geology, BS"
Johnny Test12721,jt12721@illinois.edu,"Sustainability in Food & Environmental Systems, BS"
Johnny Test30641,jt30641@illinois.edu,"Economics, BALAS"
Johnny Test4971,jt4971@illinois.edu,"Computer Science, MCS"
Johnny Test14267,jt14267@illinois.edu,"Psychology, BSLAS"
Johnny Test19487,jt19487@illinois.edu,"Latina/Latino Studies, BALAS"
Johnny Test20916,jt20916@illinois.edu,"Information Sciences + Data Science, BS"
Johnny Test35015,jt35015@illinois.edu,"Graphic Design, BFA"
Johnny Test3474,jt3474@illinois.edu,"Computer Science + Geography & Geographic Information Science, BSLAS"
Johnny Test32635,jt32635@illinois.edu,"Art Education, BFA"
Johnny Test4011,jt4011@illinois.edu,"Computer Science, PhD"
Johnny Test8177,jt8177@illinois.edu,"Communication, BALAS"
Johnny Test3535,jt3535@illinois.edu,"Computer Science + Economics, BSLAS"
Johnny Test16271,jt16271@illinois.edu,"Jazz Performance, BMUS"
Johnny Test9193,jt9193@illinois.edu,"Natural Resources & Environmental Sciences, BS"
Johnny Test17849,jt17849@illinois.edu,"Agricultural & Biological Engineering, BS"
Johnny Test1218,jt1218@illinois.edu,"Computer Science & Music, BS"
Johnny Test2837,jt2837@illinois.edu,"Computer Science + Geography & Geographic Information Science, BSLAS"
Johnny Test52542,jt52542@illinois.edu,"Civil Engineering, PhD"
Johnny Test1168,jt1168@illinois.edu,"Computer Science + Astronomy, BSLAS"
Johnny Test23121,jt23121@illinois.edu,"Chemistry, BSLAS"
Johnny Test24956,jt24956@illinois.edu,"Molecular & Cellular Biology, BSLAS"
Johnny Test16476,jt16476@illinois.edu,"Athletic Training, BS"
Johnny Test48704,jt48704@illinois.edu,Second Language Acquisition & Teacher Education
Johnny Test49669,jt49669@illinois.edu,"East Asian Languages & Cultures, MA"
Johnny Test8514,jt8514@illinois.edu,"Portuguese, BALAS"
Johnny Test14038,jt14038@illinois.edu,"Spanish (Teaching), BA"
Johnny Test43623,jt43623@illinois.edu,"Anthropology, MA"
Johnny Test14620,jt14620@illinois.edu,"Studio Art, BFASA"
Johnny Test18845,jt18845@illinois.edu,"Slavic Studies, BALAS"
Johnny Test51705,jt51705@illinois.edu,"Teaching of Mathematics, MS"
Johnny Test29106,jt29106@illinois.edu,"Secondary Education, BS"
Johnny Test19517,jt19517@illinois.edu,"Sustainability in Food & Environmental Systems, BS"
Johnny Test29933,jt29933@illinois.edu,"Agricultural Leadership, Education, & Communications, BS"
Johnny Test25452,jt25452@illinois.edu,"Spanish (Teaching), BA"
Johnny Test52406,jt52406@illinois.edu,"Food Science & Human Nutrition, MS - Professional Science Master’s"
Johnny Test36473,jt36473@illinois.edu,Chemistry Teaching
Johnny Test54431,jt54431@illinois.edu,"Biochemistry, MS"
Johnny Test69,jt69@illinois.edu,"Computer Science + Bioengineering, BS"
Johnny Test27583,jt27583@illinois.edu,"Neuroscience, BSLAS"
Johnny Test30595,jt30595@illinois.edu,"Neuroscience, BSLAS"
Johnny Test54719,jt54719@illinois.edu,"Astronomy, MS"
Johnny Test10013,jt10013@illinois.edu,"Interdisciplinary Studies, BALAS"
Johnny Test52303,jt52303@illinois.edu,"Technology Management, MS"
Johnny Test11288,jt11288@illinois.edu,"East Asian Languages & Cultures, BALAS"
Johnny Test37499,jt37499@illinois.edu,"Italian, PhD"
Johnny Test48932,jt48932@illinois.edu,"Educational Psychology, MA"
Johnny Test6013,jt6013@illinois.edu,"Voice, BMUS"
Johnny Test52082,jt52082@illinois.edu,"Strategic Brand Communication, MS"
Johnny Test29717,jt29717@illinois.edu,"Bioengineering, BS"
Johnny Test44673,jt44673@illinois.edu,"Bioengineering, PhD"
Johnny Test48514,jt48514@illinois.edu,"Cell and Developmental Biology, MS"
Johnny Test49869,jt49869@illinois.edu,"Curriculum & Instruction, MS"
Johnny Test23385,jt23385@illinois.edu,"Environmental Engineering, BS"
Johnny Test51587,jt51587@illinois.edu,"Special Education, EdM"
Johnny Test49822,jt49822@illinois.edu,"Microbiology, MS"
Johnny Test3943,jt3943@illinois.edu,"Computer Science + Animal Sciences, BS"
Johnny Test12204,jt12204@illinois.edu,Teacher Education (K-12)
Johnny Test42566,jt42566@illinois.edu,"Environmental Engineering in Civil Engineering, PhD"
Johnny Test5278,jt5278@illinois.edu,"Computer Science, MCS"
Johnny Test42643,jt42643@illinois.edu,"Linguistics, PhD"
Johnny Test28985,jt28985@illinois.edu,"Speech & Hearing Science, BS"
Johnny Test44612,jt44612@illinois.edu,"Creative Writing, MFA"
Johnny Test12984,jt12984@illinois.edu,"Strategy, Innovation and Entrepreneurship, BS"
Johnny Test48052,jt48052@illinois.edu,"Curriculum & Instruction, PhD"
Johnny Test41301,jt41301@illinois.edu,"Portuguese, MA"
Johnny Test16361,jt16361@illinois.edu,"Urban Studies & Planning, BA"
Johnny Test32245,jt32245@illinois.edu,"Theatre, BFA"
Johnny Test9400,jt9400@illinois.edu,"Jazz Performance, BMUS"
Johnny Test14841,jt14841@illinois.edu,"Kinesiology, BS & Dance, BA"
Johnny Test53425,jt53425@illinois.edu,"Animal Sciences, MANSC"
Johnny Test39680,jt39680@illinois.edu,"Music, MMUS"
Johnny Test3428,jt3428@illinois.edu,"Computer Science + Astronomy, BSLAS"
Johnny Test38759,jt38759@illinois.edu,"Education Policy, Organization & Leadership, EdM"
Johnny Test46031,jt46031@illinois.edu,"Slavic Languages & Literatures, MA"
Johnny Test2391,jt2391@illinois.edu,"Computer Science + Physics, BS"
Johnny Test32828,jt32828@illinois.edu,"Statistics, BSLAS"
Johnny Test39203,jt39203@illinois.edu,"South Asian & Middle Eastern Studies, MA"
Johnny Test34236,jt34236@illinois.edu,"Journalism, BS"
Johnny Test53136,jt53136@illinois.edu,"Crop Sciences, MS"
Johnny Test51927,jt51927@illinois.edu,"Pathobiology, PhD"
Johnny Test44013,jt44013@illinois.edu,"Teaching of Mathematics, MS"
Johnny Test6638,jt6638@illinois.edu,"Agricultural & Biological Engineering, BS"
Johnny Test40316,jt40316@illinois.edu,"Comparative Literature, PhD"
Johnny Test41357,jt41357@illinois.edu,"Art History, MA"
Johnny Test6380,jt6380@illinois.edu,"Actuarial Science, BSLAS"
Johnny Test40303,jt40303@illinois.edu,"Economics, PhD"
Johnny Test23289,jt23289@illinois.edu,"Philosophy, BALAS"
Johnny Test48279,jt48279@illinois.edu,"Slavic Languages & Literatures, MA"
Johnny Test19763,jt19763@illinois.edu,"English, BALAS"
Johnny Test33627,jt33627@illinois.edu,"Nuclear, Plasma, & Radiological Engineering, BS"
Johnny Test6522,jt6522@illinois.edu,"Art Education, BFA"
Johnny Test9867,jt9867@illinois.edu,"Industrial Engineering, BS"
Johnny Test5946,jt5946@illinois.edu,"Electrical & Computer Engineering, MEng"
Johnny Test42369,jt42369@illinois.edu,"Microbiology, MS"
Johnny Test45598,jt45598@illinois.edu,"Bioengineering, PhD"
Johnny Test21330,jt21330@illinois.edu,"Engineering Technology & Management for Agricultural Systems, BS"
Johnny Test28623,jt28623@illinois.edu,"Dance, BFA"
Johnny Test6171,jt6171@illinois.edu,"Accountancy, BS"
Johnny Test31278,jt31278@illinois.edu,"Dance, BA"
Johnny Test20632,jt20632@illinois.edu,"Linguistics and Teaching English as a Second Language (TESL), BALAS"
Johnny Test437,jt437@illinois.edu,"Mathematics & Computer Science, BSLAS"
Johnny Test54630,jt54630@illinois.edu,"Political Science, PhD"
Johnny Test40934,jt40934@illinois.edu,"Physics, MS"
Johnny Test6844,jt6844@illinois.edu,"Geography & Geographic Information Science, BALAS"
Johnny Test32864,jt32864@illinois.edu,"Linguistics and Teaching English as a Second Language (TESL), BALAS"
Johnny Test37908,jt37908@illinois.edu,"English, PhD"
Johnny Test8985,jt8985@illinois.edu,"Statistics, BSLAS"
Johnny Test10435,jt10435@illinois.edu,"Speech & Hearing Science, BS"
Johnny Test15451,jt15451@illinois.edu,"Geology, BSLAS"
Johnny Test14575,jt14575@illinois.edu,"Agricultural Leadership, Education, & Communications, BS"
Johnny Test6788,jt6788@illinois.edu,"Athletic Training, BS"
Johnny Test50932,jt50932@illinois.edu,"Pathobiology, PhD"
Johnny Test42523,jt42523@illinois.edu,"Agricultural Leadership, Education, & Communications, MS"
Johnny Test34006,jt34006@illinois.edu,"Latina/Latino Studies, BALAS"
Johnny Test17983,jt17983@illinois.edu,"Spanish, BALAS"
Johnny Test11868,jt11868@illinois.edu,"Neuroscience, BSLAS"
Johnny Test29315,jt29315@illinois.edu,"Atmospheric Sciences, BSLAS"
Johnny Test16324,jt16324@illinois.edu,"Food Science, BS"
Johnny Test12047,jt12047@illinois.edu,"Athletic Training, BS"
Johnny Test12965,jt12965@illinois.edu,"Agricultural Leadership, Education, & Communications, BS"
Johnny Test14522,jt14522@illinois.edu,"Elementary Education, BS"
Johnny Test54002,jt54002@illinois.edu,"Engineering Technology and Management for Agricultural Systems, MS - Professional Science Masters"
Johnny Test14443,jt14443@illinois.edu,"Slavic Studies, BALAS"
Johnny Test38204,jt38204@illinois.edu,"Journalism, MS"
Johnny Test32034,jt32034@illinois.edu,"Mathematics, BSLAS"
Johnny Test53957,jt53957@illinois.edu,"Kinesiology, PhD"
Johnny Test10453,jt10453@illinois.edu,"Physics, BS"
Johnny Test27951,jt27951@illinois.edu,"Systems Engineering & Design, BS"
Johnny Test6363,jt6363@illinois.edu,"Athletic Training, BS"
Johnny Test30923,jt30923@illinois.edu,"Studio Art, BFASA"
Johnny Test33049,jt33049@illinois.edu,"Community Health, BS"
Johnny Test9956,jt9956@illinois.edu,"Dance, BA"
Johnny Test46255,jt46255@illinois.edu,"Kinesiology, PhD"
Johnny Test3049,jt3049@illinois.edu,"Computer Science + Bioengineering, BS"
Johnny Test13384,jt13384@illinois.edu,"Dance, BA"
Johnny Test46804,jt46804@illinois.edu,"Nutritional Sciences, MS"
Johnny Test36666,jt36666@illinois.edu,"Music Composition, BMUS"
Johnny Test8863,jt8863@illinois.edu,"Biochemistry, BS"
Johnny Test24074,jt24074@illinois.edu,"Media & Cinema Studies, BS"
Johnny Test46662,jt46662@illinois.edu,"Predictive Analytics and Risk Management, MS"
Johnny Test13180,jt13180@illinois.edu,Chemistry Teaching
Johnny Test23698,jt23698@illinois.edu,"Neural Engineering, BS"
Johnny Test19654,jt19654@illinois.edu,"Dance, BA"
Johnny Test20608,jt20608@illinois.edu,"Communication, BALAS"
Johnny Test34394,jt34394@illinois.edu,"African American Studies, BALAS"
Johnny Test7821,jt7821@illinois.edu,"Geography & Geographic Information Science, BALAS"
Johnny Test36659,jt36659@illinois.edu,"Latina/Latino Studies, BALAS"
Johnny Test12517,jt12517@illinois.edu,"Classics, BALAS"
Johnny Test46365,jt46365@illinois.edu,"Engineering, MENG"
Johnny Test39584,jt39584@illinois.edu,"Urban Planning, MUP"
Johnny Test12042,jt12042@illinois.edu,"Geology, BS"
Johnny Test13254,jt13254@illinois.edu,"Economics, BALAS"
Johnny Test38446,jt38446@illinois.edu,"Linguistics, MA"
Johnny Test43539,jt43539@illinois.edu,"Human Development & Family Studies, MS"
Johnny Test10220,jt10220@illinois.edu,"Dance, BFA"
Johnny Test104,jt104@illinois.edu,"Computer Science + Chemistry, BSLAS"
Johnny Test41594,jt41594@illinois.edu,"Livestock Systems Health, MVS"
Johnny Test49601,jt49601@illinois.edu,"Systems & Entrepreneurial Engineering, MS"
Johnny Test28215,jt28215@illinois.edu,"Community Health, BS"
Johnny Test48011,jt48011@illinois.edu,"Industrial Engineering, MS"
Johnny Test39186,jt39186@illinois.edu,"Philosophy, MA"
Johnny Test40141,jt40141@illinois.edu,"Engineering, MENG"
Johnny Test53078,jt53078@illinois.edu,"German, PhD"
Johnny Test29491,jt29491@illinois.edu,"French, BALAS"
Johnny Test28354,jt28354@illinois.edu,"Dance, BA & Kinesiology, BS (Dual Degree Program)"
Johnny Test32860,jt32860@illinois.edu,"Atmospheric Sciences, BSLAS"
Johnny Test8266,jt8266@illinois.edu,"Agricultural & Consumer Economics, BS"
Johnny Test41954,jt41954@illinois.edu,"Mathematics, MS"
Johnny Test43323,jt43323@illinois.edu,"Italian, PhD"
Johnny Test47011,jt47011@illinois.edu,"Crop Sciences, MS"
Johnny Test11341,jt11341@illinois.edu,"Global Studies, BALAS"
Johnny Test39213,jt39213@illinois.edu,"Crop Sciences, PhD"
Johnny Test30295,jt30295@illinois.edu,"Statistics, BSLAS"
Johnny Test22489,jt22489@illinois.edu,"Music Education, BME"
Johnny Test22800,jt22800@illinois.edu,"Interdisciplinary Health Sciences, BS"
Johnny Test21699,jt21699@illinois.edu,"Art & Art History, BFA"
Johnny Test22873,jt22873@illinois.edu,"Engineering Mechanics, BS"
Johnny Test47440,jt47440@illinois.edu,"Religion, MA"
Johnny Test52971,jt52971@illinois.edu,"Anthropology, MA"
Johnny Test7657,jt7657@illinois.edu,"Neural Engineering, BS"
Johnny Test37828,jt37828@illinois.edu,"Applied Mathematics, MS"
Johnny Test53407,jt53407@illinois.edu,"Systems & Entrepreneurial Engineering, PhD"
Johnny Test24920,jt24920@illinois.edu,"Operations Management, BS"
Johnny Test26009,jt26009@illinois.edu,Chemistry Teaching
Johnny Test42397,jt42397@illinois.edu,"Teaching of Physics, MS"
Johnny Test30302,jt30302@illinois.edu,"Art & Art History, BFA"
Johnny Test15366,jt15366@illinois.edu,"Russian, East European, & Eurasian Studies, BALAS"
Johnny Test1481,jt1481@illinois.edu,"Computer Science + Bioengineering, BS"
Johnny Test42076,jt42076@illinois.edu,"Nutritional Sciences, MS"
Johnny Test47250,jt47250@illinois.edu,"Atmospheric Sciences, PhD"
Johnny Test1291,jt1291@illinois.edu,"Computer Science + Advertising, BS"
Johnny Test10091,jt10091@illinois.edu,"East Asian Languages & Cultures, BALAS"
Johnny Test26617,jt26617@illinois.edu,"Physics, BS"
Johnny Test41054,jt41054@illinois.edu,"Health Technology, MS"
Johnny Test40359,jt40359@illinois.edu,"Accountancy, MS"
Johnny Test31142,jt31142@illinois.edu,"Teaching of French, BA"
Johnny Test28038,jt28038@illinois.edu,"Molecular & Cellular Biology, BSLAS"
